strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,372,37111,184140000
odr7p_NH4Br,JNL_10off_120on_50off,373,37211,183470000
odr7p_NH4Br,JNL_10off_120on_50off,374,37311,183875000
odr7p_NH4Br,JNL_10off_120on_50off,375,37411,183796000
odr7p_NH4Br,JNL_10off_120on_50off,376,37511,183674000
odr7p_NH4Br,JNL_10off_120on_50off,377,37611,183657000
odr7p_NH4Br,JNL_10off_120on_50off,378,37711,183890000
odr7p_NH4Br,JNL_10off_120on_50off,379,37811,183501000
odr7p_NH4Br,JNL_10off_120on_50off,380,37911,183597000
odr7p_NH4Br,JNL_10off_120on_50off,381,38011,183198000
odr7p_NH4Br,JNL_10off_120on_50off,382,38111,183877000
odr7p_NH4Br,JNL_10off_120on_50off,383,38211,183473000
odr7p_NH4Br,JNL_10off_120on_50off,384,38311,183138000
odr7p_NH4Br,JNL_10off_120on_50off,385,38411,183729000
odr7p_NH4Br,JNL_10off_120on_50off,386,38511,183135000
odr7p_NH4Br,JNL_10off_120on_50off,387,38611,183664000
odr7p_NH4Br,JNL_10off_120on_50off,388,38711,183460000
odr7p_NH4Br,JNL_10off_120on_50off,389,38811,183360000
odr7p_NH4Br,JNL_10off_120on_50off,390,38911,183206000
odr7p_NH4Br,JNL_10off_120on_50off,391,39011,182387000
odr7p_NH4Br,JNL_10off_120on_50off,392,39111,183166000
odr7p_NH4Br,JNL_10off_120on_50off,393,39211,182928000
odr7p_NH4Br,JNL_10off_120on_50off,394,39311,182277000
odr7p_NH4Br,JNL_10off_120on_50off,395,39411,182796000
odr7p_NH4Br,JNL_10off_120on_50off,396,39511,182714000
odr7p_NH4Br,JNL_10off_120on_50off,397,39611,182820000
odr7p_NH4Br,JNL_10off_120on_50off,398,39711,182209000
odr7p_NH4Br,JNL_10off_120on_50off,399,39811,182157000
odr7p_NH4Br,JNL_10off_120on_50off,400,39911,182502000
odr7p_NH4Br,JNL_10off_120on_50off,401,40011,181670000
odr7p_NH4Br,JNL_10off_120on_50off,402,40111,181861000
odr7p_NH4Br,JNL_10off_120on_50off,403,40211,181581000
odr7p_NH4Br,JNL_10off_120on_50off,404,40311,181848000
odr7p_NH4Br,JNL_10off_120on_50off,405,40411,181781000
odr7p_NH4Br,JNL_10off_120on_50off,406,40511,181999000
odr7p_NH4Br,JNL_10off_120on_50off,407,40611,181850000
odr7p_NH4Br,JNL_10off_120on_50off,408,40711,181711000
odr7p_NH4Br,JNL_10off_120on_50off,409,40811,181265000
odr7p_NH4Br,JNL_10off_120on_50off,410,40911,181539000
odr7p_NH4Br,JNL_10off_120on_50off,411,41011,181351000
odr7p_NH4Br,JNL_10off_120on_50off,412,41111,181033000
odr7p_NH4Br,JNL_10off_120on_50off,413,41211,181744000
odr7p_NH4Br,JNL_10off_120on_50off,414,41311,180979000
odr7p_NH4Br,JNL_10off_120on_50off,415,41411,181058000
odr7p_NH4Br,JNL_10off_120on_50off,416,41511,181346000
